# op_idx  op_name                          input_shapes -> output_shapes
 188  DEPTHWISE_CONV_2D               in=['1x16x16x960', '1x5x5x960', '960']  -> out=['1x16x16x960']  consts=[]
 189  DEQUANTIZE                      in=[]  -> out=['160x1x1x960']  consts=['160x1x1x960']
 190  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 191  CONV_2D                         in=['1x16x16x960', '160x1x1x960', '160']  -> out=['1x16x16x160']  consts=[]
 192  ADD                             in=['1x16x16x160', '1x16x16x160']  -> out=['1x16x16x160']  consts=[]
 193  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 194  DEQUANTIZE                      in=[]  -> out=['960x1x1x160']  consts=['960x1x1x160']
 195  CONV_2D                         in=['1x16x16x160', '960x1x1x160', '960']  -> out=['1x16x16x960']  consts=[]
 196  DEQUANTIZE                      in=[]  -> out=['1x5x5x960']  consts=['1x5x5x960']
 197  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 198  DEPTHWISE_CONV_2D               in=['1x16x16x960', '1x5x5x960', '960']  -> out=['1x16x16x960']  consts=[]
 199  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 200  DEQUANTIZE                      in=[]  -> out=['160x1x1x960']  consts=['160x1x1x960']
 201  CONV_2D                         in=['1x16x16x960', '160x1x1x960', '160']  -> out=['1x16x16x160']  consts=[]
 202  ADD                             in=['1x16x16x160', '1x16x16x160']  -> out=['1x16x16x160']  consts=[]
 203  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 204  DEQUANTIZE                      in=[]  -> out=['960x1x1x160']  consts=['960x1x1x160']
 205  CONV_2D                         in=['1x16x16x160', '960x1x1x160', '960']  -> out=['1x16x16x960']  consts=[]
 206  DEQUANTIZE                      in=[]  -> out=['1x5x5x960']  consts=['1x5x5x960']
 207  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 208  DEPTHWISE_CONV_2D               in=['1x16x16x960', '1x5x5x960', '960']  -> out=['1x16x16x960']  consts=[]
 209  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 210  DEQUANTIZE                      in=[]  -> out=['160x1x1x960']  consts=['160x1x1x960']
 211  CONV_2D                         in=['1x16x16x960', '160x1x1x960', '160']  -> out=['1x16x16x160']  consts=[]
 212  ADD                             in=['1x16x16x160', '1x16x16x160']  -> out=['1x16x16x160']  consts=[]
 213  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 214  DEQUANTIZE                      in=[]  -> out=['960x1x1x160']  consts=['960x1x1x160']
 215  CONV_2D                         in=['1x16x16x160', '960x1x1x160', '960']  -> out=['1x16x16x960']  consts=[]
 216  DEQUANTIZE                      in=[]  -> out=['1x5x5x960']  consts=['1x5x5x960']
 217  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 218  DEPTHWISE_CONV_2D               in=['1x16x16x960', '1x5x5x960', '960']  -> out=['1x16x16x960']  consts=[]
 219  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 220  DEQUANTIZE                      in=[]  -> out=['160x1x1x960']  consts=['160x1x1x960']
 221  CONV_2D                         in=['1x16x16x960', '160x1x1x960', '160']  -> out=['1x16x16x160']  consts=[]
 222  ADD                             in=['1x16x16x160', '1x16x16x160']  -> out=['1x16x16x160']  consts=[]
 223  DEQUANTIZE                      in=[]  -> out=['960x1x1x160']  consts=['960x1x1x160']
 224  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 225  CONV_2D                         in=['1x16x16x160', '960x1x1x160', '960']  -> out=['1x16x16x960']  consts=[]
 226  DEQUANTIZE                      in=[]  -> out=['1x5x5x960']  consts=['1x5x5x960']
 227  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 228  DEPTHWISE_CONV_2D               in=['1x16x16x960', '1x5x5x960', '960']  -> out=['1x16x16x960']  consts=[]
 229  DEQUANTIZE                      in=[]  -> out=['160x1x1x960']  consts=['160x1x1x960']
 230  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 231  CONV_2D                         in=['1x16x16x960', '160x1x1x960', '160']  -> out=['1x16x16x160']  consts=[]
 232  ADD                             in=['1x16x16x160', '1x16x16x160']  -> out=['1x16x16x160']  consts=[]
 233  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 234  DEQUANTIZE                      in=[]  -> out=['960x1x1x160']  consts=['960x1x1x160']
 235  CONV_2D                         in=['1x16x16x160', '960x1x1x160', '960']  -> out=['1x16x16x960']  consts=[]
 236  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 237  DEQUANTIZE                      in=[]  -> out=['1x3x3x160']  consts=['1x3x3x160']
 238  DEPTHWISE_CONV_2D               in=['1x16x16x160', '1x3x3x160', '160']  -> out=['1x16x16x160']  consts=[]
 239  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
 240  DEQUANTIZE                      in=[]  -> out=['48x1x1x160']  consts=['48x1x1x160']
 241  CONV_2D                         in=['1x16x16x160', '48x1x1x160', '48']  -> out=['1x16x16x48']  consts=[]
 242  DEQUANTIZE                      in=[]  -> out=['160']  consts=['160']
 243  DEQUANTIZE                      in=[]  -> out=['1x3x3x160']  consts=['1x3x3x160']
 244  DEPTHWISE_CONV_2D               in=['1x16x16x160', '1x3x3x160', '160']  -> out=['1x16x16x160']  consts=[]
 245  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
 246  DEQUANTIZE                      in=[]  -> out=['192x1x1x160']  consts=['192x1x1x160']
 247  CONV_2D                         in=['1x16x16x160', '192x1x1x160', '192']  -> out=['1x16x16x192']  consts=[]
 248  PAD                             in=['1x16x16x960']  -> out=['1x20x20x960']  consts=['4x2']
 249  DEQUANTIZE                      in=[]  -> out=['1x5x5x960']  consts=['1x5x5x960']
 250  DEQUANTIZE                      in=[]  -> out=['960']  consts=['960']
 251  DEPTHWISE_CONV_2D               in=['1x20x20x960', '1x5x5x960', '960']  -> out=['1x8x8x960']  consts=[]
 252  DEQUANTIZE                      in=[]  -> out=['272x1x1x960']  consts=['272x1x1x960']
 253  DEQUANTIZE                      in=[]  -> out=['272']  consts=['272']
 254  CONV_2D                         in=['1x8x8x960', '272x1x1x960', '272']  -> out=['1x8x8x272']  consts=[]
 255  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 256  DEQUANTIZE                      in=[]  -> out=['1632x1x1x272']  consts=['1632x1x1x272']
 257  CONV_2D                         in=['1x8x8x272', '1632x1x1x272', '1632']  -> out=['1x8x8x1632']  consts=[]
 258  DEQUANTIZE                      in=[]  -> out=['1x5x5x1632']  consts=['1x5x5x1632']
 259  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 260  DEPTHWISE_CONV_2D               in=['1x8x8x1632', '1x5x5x1632', '1632']  -> out=['1x8x8x1632']  consts=[]
 261  DEQUANTIZE                      in=[]  -> out=['272x1x1x1632']  consts=['272x1x1x1632']
 262  DEQUANTIZE                      in=[]  -> out=['272']  consts=['272']
 263  CONV_2D                         in=['1x8x8x1632', '272x1x1x1632', '272']  -> out=['1x8x8x272']  consts=[]
 264  ADD                             in=['1x8x8x272', '1x8x8x272']  -> out=['1x8x8x272']  consts=[]
 265  DEQUANTIZE                      in=[]  -> out=['1632x1x1x272']  consts=['1632x1x1x272']
 266  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 267  CONV_2D                         in=['1x8x8x272', '1632x1x1x272', '1632']  -> out=['1x8x8x1632']  consts=[]
 268  DEQUANTIZE                      in=[]  -> out=['1x5x5x1632']  consts=['1x5x5x1632']
 269  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 270  DEPTHWISE_CONV_2D               in=['1x8x8x1632', '1x5x5x1632', '1632']  -> out=['1x8x8x1632']  consts=[]
 271  DEQUANTIZE                      in=[]  -> out=['272x1x1x1632']  consts=['272x1x1x1632']
 272  DEQUANTIZE                      in=[]  -> out=['272']  consts=['272']
 273  CONV_2D                         in=['1x8x8x1632', '272x1x1x1632', '272']  -> out=['1x8x8x272']  consts=[]
 274  ADD                             in=['1x8x8x272', '1x8x8x272']  -> out=['1x8x8x272']  consts=[]
 275  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 276  DEQUANTIZE                      in=[]  -> out=['1632x1x1x272']  consts=['1632x1x1x272']
 277  CONV_2D                         in=['1x8x8x272', '1632x1x1x272', '1632']  -> out=['1x8x8x1632']  consts=[]
 278  DEQUANTIZE                      in=[]  -> out=['1x5x5x1632']  consts=['1x5x5x1632']
 279  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 280  DEPTHWISE_CONV_2D               in=['1x8x8x1632', '1x5x5x1632', '1632']  -> out=['1x8x8x1632']  consts=[]
 281  DEQUANTIZE                      in=[]  -> out=['272']  consts=['272']
 282  DEQUANTIZE                      in=[]  -> out=['272x1x1x1632']  consts=['272x1x1x1632']
 283  CONV_2D                         in=['1x8x8x1632', '272x1x1x1632', '272']  -> out=['1x8x8x272']  consts=[]
 284  ADD                             in=['1x8x8x272', '1x8x8x272']  -> out=['1x8x8x272']  consts=[]
 285  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 286  DEQUANTIZE                      in=[]  -> out=['1632x1x1x272']  consts=['1632x1x1x272']
 287  CONV_2D                         in=['1x8x8x272', '1632x1x1x272', '1632']  -> out=['1x8x8x1632']  consts=[]
 288  DEQUANTIZE                      in=[]  -> out=['1x5x5x1632']  consts=['1x5x5x1632']
 289  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 290  DEPTHWISE_CONV_2D               in=['1x8x8x1632', '1x5x5x1632', '1632']  -> out=['1x8x8x1632']  consts=[]
 291  DEQUANTIZE                      in=[]  -> out=['272']  consts=['272']
 292  DEQUANTIZE                      in=[]  -> out=['272x1x1x1632']  consts=['272x1x1x1632']
 293  CONV_2D                         in=['1x8x8x1632', '272x1x1x1632', '272']  -> out=['1x8x8x272']  consts=[]
 294  ADD                             in=['1x8x8x272', '1x8x8x272']  -> out=['1x8x8x272']  consts=[]
 295  DEQUANTIZE                      in=[]  -> out=['1632x1x1x272']  consts=['1632x1x1x272']
 296  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
 297  CONV_2D                         in=['1x8x8x272', '1632x1x1x272', '1632']  -> out=['1x8x8x1632']  consts=[]
 298  DEQUANTIZE                      in=[]  -> out=['1x5x5x1632']  consts=['1x5x5x1632']
 299  DEQUANTIZE                      in=[]  -> out=['1632']  consts=['1632']
